"";"Ref ID";"Outcome Data?";"First Author";"Year";"Country";"Journal Name";"Title";"Number of Studies";"Number of Treatments";"Number of Nodes";"Control intervention";"Intervention comparison type";"Includes Complex Interventions";"Includes different treatment doses";"Did the model account for different treatment doses?";"Primary Outcome(s)";"Description of the outcome(s)";"Safety/
Effectiveness";"Harmful/
Beneficial Outcome";"Type of outcome";"Objective outcome?";"Effect measure";"Outcome measured as";"Indirect Method";"level
";"Number of 2-arm trials";"Number of 3-arm trials";"Number of 4-arm trials";"Number of 5-arm trials";"Number of 6+ -arm trials";"Shape of network";"Total loops";"Assessment of consistency assumption";"NMA includes both direct and indirect evidence";"Models used to adjust for inconsistency";"Assessment of Transitivity";"Fixed effect or Random effects model";"Rationale for FE or RE provided";"Assumption for heterogeneity in Random Effects model";"Heterogeneity estimator/prior";"Mantel Haenszel / Peto / Inverse Variance Method";"Analysis for heterogeneity
";"Was publication bias assessed?";"Method used to assess publication bias";"Ranking";"Reporting of effect sizes";"Use of individual patient data?";"Was missing participant data reported?";"How was missing data handled?";"Funding Source";"Funding Type";"I squared of heterogeneity";"I squared of inconsistency";"I  squared both";"Bayesian / Frequentist Approach";"format";"verified";"checked";"error";"label";"X__1";"X__2";"X__3";"X__4";"X__5";"X__6";"X__7";"X__8";"X__9";"X__10";"X__11";"X__12";"X__13"
"31";"479807";"YES";"Galvan-Banqueri";2013;"Spain";"The Journal of Clinical Pharmacy and Therapeutics";"Biological treatments for moderate-to-severe psoriasis: indirect comparison";14;"5";5;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"Psoriasis Area Severity Index reduction by 75%";"Efficacy of the biological agents in patients with psoriasis";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"risk difference";"The primary end point (PASI 75) was determined taking into account the estimated response time for each of the drugs, so that PASI 75 was determined at week 12, 16, 10 and 24 for ustekinumab, adalimumab, infliximab and etanercept respec- tively. First, we calculated the absolute risk reduction (ARR) in the primary end point compared with placebo for each of the biological agents";"Adjusted indirect comparison (Bucher)";"Arm";"14";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"trials with similar characteristics";"Both FE and RE";"sensitivity analysis";"Unclear";"NR";"Inverse Variance Method";"Unclear";"No";"NA";"NR";"Subset";"No";"No";"NA";"NR";"Funding source not reported";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"32";"479808";"YES";"Singh";2009;"USA";"Cochrane Database of Systematic Reviews";"Biologics for rheumatoid arthritis: an overview of Cochrane reviews";31;"7";7;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"50% improvement in patient- and
physician-reported criteria of the American College of Rheumatology (ACR 50)";"Efficacy of currently available biologic disease-modifying anti-rheumatic drugs in adults with rheumatoid arthritis";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"patients achieving more than 50% symptomatic improvement";"Meta regression";"Arm";"31";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"trials with similar patients characteristics";"Both FE and RE";"Model fit";"common within-network";"NR";"NR";"Yes";"No";"NA";"NR";"All";"No";"Yes";"for missing values we contacted the authors of the review and requested
data and/or an update to the review";"NIH CTSA Award, The Oak Foundation";"Publicly-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"33";"479816";"YES";"Musini";2014;"Canada";"Cochrane Database of Systematic Reviews";"Blood pressure-lowering efficacy of monotherapy with
thiazide diuretics for primary hypertension";55;"7";27;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"Unclear";"systolic blood pressure reduction";"To determine the dose-related decrease in systolic and/or diastolic
blood pressure due to thiazide diuretics compared with placebo
control in the treatment of patients with primary hypertension";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"mean difference";"blood pressure within 12 hours of the dose and secondary
 between 12 and 24 hours";"Adjusted indirect comparison (Bucher)";"Arm";"29";"13";"11";"2";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Both FE and RE";"fixed effect
model in case with low heterogeneity";"Unclear";"NR";"NR";"Yes";"Yes";"Funnel plot";"NR";"Subset";"No";"Yes";"missing values from information in the same trial or from other
trials using the same dose";"Canadian Institutes of Health Research";"Publicly-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"35";"479887";"YES";"Zhang";2014;"China";"World Journal of Gastroenterology";"Chemotherapy for patients with gastric cancer after complete resection: A network meta-analysis";13;"5";5;"surgery";"3 (non-pharmacological vs any)";"Yes";"Unclear";"NR";"overall mortality";"Efficacy of different chemotherapy regimens for patients with gastric cancer";"Effectiveness";"Harmful";"Survival";"Objective";"hazard ratio";"number of patients for the time from randomization to death from any cause, or to the last follow-up, which was used as the date of censoring";"Indirect comparison meta-analysis";"Arm";"31";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Both FE and RE";"No";"NR";"NR";"NR";"Unclear";"No";"NA";"NR";"All";"No";"No";"NA";"None";"Non-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"36";"479888";"YES";"Gresham";2014;"Canada";"BioMed Central Cancer";"Chemotherapy regimens for advanced pancreatic cancer: a systematic review and network meta-analysis";23;"20";20;"gemcitabine";"1 (pharmacological vs pharmacological)";"Yes";"Unclear";"NR";"overall survival";"Efficacy of chemotherapy regimens for the treatment of advanced pancreatic cancer";"Effectiveness";"Beneficial";"Survival";"Objective";"hazard ratio";"number of patients from the date of randomization until the date of death";"Bayesian Hierarchical Model";"Study";"23";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Both FE and RE";"use of fixed effects models for comparisons in which only a single study was included for that particular treatment comparison";"Unclear";"vague/flat priors";"NR";"Yes";"Yes";"Funnel plot";"Probability of being the best; mean rank";"All";"No";"No";"NR";"CIHR; Canadian Network and Centre for Trials Internationally (CANNeCTIN)";"Publicly-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"37";"479907";"YES";"Cost";2011;"Portugal";"Epilepsia";"Clinical comparability of the new antiepileptic drugs
in refractory partial epilepsy: A systematic review and meta-analysis";70;"NR";11;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"responder (>=50% seizure reduction)";"Evaluate the clinical comparability of new
antiepileptic drugs (AEDs) in partial refractory epilepsy";"Effectiveness";"Beneficial";"Binary";"Objective";"odds ratio (pooled)";"proportion of patients experiencing a
50% or greater reduction in seizure frequency in the treatment
period compared to the prerandomization baseline period";"Adjusted indirect comparison (Bucher)";"Arm";"69";"1";"0";"0";"0";"Full Network";"Unclear";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"all trials enrolled patients with similar clinical characteristics and study
designs";"Random effects";"No";"NR";"NR";"Inverse Variance Method";"Yes";"No";"NA";"NR";"Subset";"No";"No";"NA";"None";"Non-sponsored";NA;NA;NA;NA;"long";0;1;"Non-numeric value for argument 'n'.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"38";"479911";"YES";"Brown";2013;"UK";"Health Technology Assessment";"Clinical effectiveness and cost-effectiveness of first-line chemotherapy for adult patients with locally advanced or metastatic non-small cell lung cancer: a systematic review and economic evaluation";18;"NR";4;"Unclear";"1 (pharmacological vs pharmacological)";"Yes";"Yes";"No - lump doses";"overall survival";"Effectiveness of first-line chemotherapy for adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC).";"Effectiveness";"Beneficial";"Survival";"Objective";"hazard ratio";"# of deaths in Non-small cell lung cancer population with squamous disease";"Bayesian Hierarchical Model";"Arm";"14";"3";"1";"0";"0";"Full Network";"2";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"NR";"Both FE and RE";"Model fit was assessed based on residual deviance and deviance information criteria";"Unclear";"non-informative (flat prior)";"NA";"Unclear";"No";"NA";"Probability of being the best";"All";"No";"No";"NA";"The National Institute for Health Research Health Technology Assessment";"Publicly-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"39";"479914";"YES";"Loveman";2015;"UK";"Health Technology Assessment";"The clinical effectiveness and cost-effectiveness of
treatments for idiopathic pulmonary fibrosis: a systematic
review and economic evaluation";10;"7";7;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"Forced vital capacity";"Clinical effectiveness of
treatments for idiopathic pulmonary fibrosis";"Effectiveness";"Beneficial";"Continuous";"Objective";"standardized mean difference";"FVC per cent predicted; and absolute change from baseline";"Bayesian Hierarchical Model";"Arm";"10";"0";"0";"0";"0";"Full Network";"1";"Loop-specific";"Yes";"Yes";"NR";"Both FE and RE";"There were insufficient data to allow random-effects variances to vary between treatments (page 92)";"Unclear";"NR";"NA";"Yes";"No";"NA";"NA";"Subset";"No";"No";"NA";"The National Institute for Health Research Health Technology Assessment programme";"Publicly-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"40";"479918";"YES";"Gao";2013;"Australia";"Epilepsy Research";"Clinical efficacy and safety of the newer antiepileptic
drugs as adjunctive treatment in adults with
refractory partial-onset epilepsy: A meta-analysis of
randomized placebo-controlled trials";15;"24";7;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"Yes - Subgroup analyses";"Response Rate";"To evaluate the clinical efficacy of the newer antiepileptic drugs (AEDs)  as adjunctive therapy for adults with partialonset
seizures (POS)";"Effectiveness";"Beneficial";"Binary";"Objective";"odds ratio";"50% reduction in seizure frequency comparing to baseline";"Adjusted indirect comparison (Bucher)";"Arm";"15";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Random effects";"No";"NR";"NR";"Mantel Haenszel";"Yes";"No";"NA";"NA";"Subset";"No";"Yes";"last observation carried forward
(LOCF) analysis";"NR";"Funding source not reported";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"43";"479969";"YES";"Lewis";2015;"UK";"The Spine Journal";"Comparative clinical effectiveness of management strategies for sciatica:
systematic review and network meta-analyses";64;"NR";21;"no treatment, sham treatment or placebo";"3 (non-pharmacological vs any)";"No";"Unclear";"NA";"Overall response or global effect";"Effectiveness of different treatment strategies for sciatica";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"response in terms of overall improvement";"Bayesian Hierarchical Model";"Arm";"94";"1";"0";"0";"0";"Full Network";"Unclear";"NR";"Unclear";"Unclear";"relative treatment effect of one treatment versus another is the same across the entire set of studies";"Random effects";"We used a random-effects model to pool the data, which is based on the assumption that different studies assessed different, yet related, treatment effects";"comparison-specific";"NR";"NA";"Unclear";"Yes";"Funnel plot";"Probability of being the best";"All";"No";"Yes";"missing data were estimated from the published data, using standard methods, such as standard deviations (SDs) derived from
standard errors (SEs). Where mean values were unavailable but the medians were reported, these were used
instead. If SDs for baseline values were available, these were substituted for missing SDs. For studies that did not
report sufficient data to derive the SDs, they were imputed
using the weighted mean, which was calculated separately
for each intervention category";"UK National Institute for Health Research
Health Technology Assessment";"Publicly-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"44";"479971";"YES";"Loke";2014;"UK";"British Journal of Clinical Pharmacology";"Comparative coronary risks of apixaban, rivaroxaban and dabigatran: a meta-analysis and adjusted indirect comparison";27;"NR";4;"placebo, heparin or vitamin K antagonist";"2 (pharmacological vs placebo)";"No";"Unclear";"NA";"adverse coronary events";"Compare treatment options such as rivaroxaban or apixaban with dabigatran for the risk of acute coronary syndrome";"Safety";"Harmful";"Binary";"Objective";"odds ratio";"proportion of patients with acute coronary syndrome";"Adjusted indirect comparison (Bucher)";"Arm";"27";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Both FE and RE";"If there was substantial heterogeneity (I2 >60%), we planned to use random effects metaanalysis and to explore potential sources of heterogeneity.";"Unclear";"NR";"Inverse Variance Method";"Yes";"No";"NA";"NA";"Subset";"No";"Yes";"Authors were contacted to obtain any missing data,  but we did not receive any response.";"None";"Non-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"45";"479974";"YES";"Wen-Huey Lee";2014;"Malaysia";"BJU International";"Comparative effectiveness and safety of various
treatment procedures for lower pole renal calculi:
a systematic review and network meta-analysis";13;"4";4;"SWL – Shockwave lithotripsy alone";"3 (non-pharmacological vs any)";"No";"No";"NA";"stone-free rate";"Compare the effectiveness of various treatments used for
lower pole renal calculi";"Effectiveness";"Beneficial";"Binary";"Objective";"risk ratio";"proportion of patients
who were stone-free at 3 months";"Multivariate meta-analysis model";"Arm";"13";"0";"0";"0";"0";"Full Network";"1";"Inconsistency factors";"Yes";"Yes";"NR";"Random effects";"No";"NR";"NR";"NR";"Unclear";"Yes";"Funnel plot; Egger's test";"SUCRA; Probability of being the best";"All";"No";"No";"NA";"None";"Non-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"47";"479993";"YES";"Craddy";2013;"Switzerland";"Diabetes Therapy";"Comparative Effectiveness of Dipeptidylpeptidase-4
Inhibitors in Type 2 Diabetes: A Systematic Review and Mixed Treatment Comparison";83;"120";6;"placebo, or standard of care for diabetes";"2 (pharmacological vs placebo)";"Yes";"Yes";"No - lump doses";"glycemic control : mean change in HbA1c from baseline to endpoint; proportion
of patients achieving target HbA1c ( smaller than 7%)
";"Safety of the dipeptidylpeptidase-4 (DPP-4) inhibitors in patients with type 2 diabetes and inadequate
glycemic control";"Effectiveness";"Beneficial";"Continuous";"Objective";"mean difference";"mean changes from baseline in HbA1c";"Bayesian Hierarchical Model";"Study";"44";"18";"10";"2";"3";"Full Network";"Unclear";"Loop-specific";"Yes";"Yes";"NR";"Random effects";"Random-effects models were utilized to account for heterogeneity from varying study populations.";"Unclear";"NR";"NA";"Yes";"No";"NA";"NA";"Subset";"No";"Yes";"missing standard
errors  derived from available
published information. If possible, standard
errors were obtained from confidence intervals
(CIs) and standard deviations (SDs); if these data
were unavailable, they were derived from the
p value referring to the change from baseline. If
none of the above was available, standard errors
were imputed using data from other wellreported
studies, using methods outlined by the Cochrane Collaboration.Alternatively,
as a final option, if there was no other wellreported
study, p values for the difference
between treatments were used and the pooled
SD applied to both arms.";"Takeda Pharmaceuticals International GmbH";"Industry-sponsored";NA;NA;NA;NA;"long";0;1;"""Identical treatments for the following studies:\n  'NA' - 'NA' - 'NA'";NA;NA;NA;NA;NA;NA;"(some studies contain multiple arms with the same intervention)";NA;NA;NA;NA;NA;NA;NA
"48";"479996";"YES";"Hazlewood";2015;"Canada";"Gastroenterology";"Comparative Effectiveness of Immunosuppressants and
Biologics for Inducing and Maintaining Remission in Crohn’s
Disease: A Network Meta-analysis";21;"9";9;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"induction of remission";"Efficacy of therapies for induction of remission in adult patients with Crohn’s disease";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"patients with Crohn’s Disease Activity Index (CDAI) less than 150";"Bayesian Hierarchical Model";"Arm";"19";"1";"1";"0";"0";"Full Network";"3";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"effect modifiers are balanced across trials";"Both FE and RE";"RE model was preferred based on the clinical heterogeneity across trials. Additional sensitivity analyses included FE model";"Unclear";"NR";"Mantel Haenszel";"Yes";"No";"NA";"Probability of being the best";"All";"No";"No";"NA";"Alberta IBD Consortium, funded by an AHFMR Interdisciplinary Team Grant (AHFMR is now Alberta Innovates–Health Solutions).";"Publicly-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"49";"479999";"YES";"Loymans";2014;"Netherlands";"British Medical Journal";"Comparative effectiveness of long term drug treatment
strategies to prevent asthma exacerbations: network
meta-analysis";66;"23";16;"placebo";"2 (pharmacological vs placebo)";"Yes";"No";"NA";"rate of severe exacerbations";"Comparative effectiveness of current maintenance strategies in preventing exacerbations of asthma";"Effectiveness";"Harmful";"Rate";"Semi-objective";"rate ratio";"the proportion of patients
with at least one exacerbation, or exacerbation rates (numbers
per person time of follow-up)";"Bayesian Hierarchical Model";"Arm";"54";"9";"3";"0";"0";"Full Network";"Unclear";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"modifiers of relative treatment effect were similar across studies";"Random effects";"No";"comparison-specific";"median of
the posterior distribution of the between trial variance τ^2";"NA";"Unclear";"Yes";"Funnel plot";"Rankograms";"All";"No";"Yes";"emailed the corresponding authors for missing data on outcomes";"None";"Non-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
